unique_key,complaint_text,agency,agency_name,borough,created_date,status,open_data_channel_type
67602558,problem: noise - residential. details: loud talking. location type: residential building/house. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T04:10:07.000,Closed,PHONE
67594152,problem: noise - residential. details: loud talking. location type: residential building/house. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T04:09:59.000,Closed,ONLINE
67597468,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T04:09:51.000,Closed,ONLINE
67594166,problem: noise - vehicle. details: car/truck music. location type: street/sidewalk. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-24T04:09:45.000,Closed,PHONE
67600873,problem: noise - street/sidewalk. details: loud music/party. location type: street/sidewalk. borough: queens,NYPD,New York City Police Department,queens,2026-01-24T04:08:18.000,Closed,ONLINE
67600838,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T04:08:03.000,Closed,ONLINE
67603415,problem: water system. details: no water (wnw). borough: queens,DEP,Department of Environmental Protection,queens,2026-01-24T04:08:00.000,Closed,PHONE
67604393,problem: heat/hot water. details: apartment only. location type: residential building. borough: staten island,HPD,Department of Housing Preservation and Development,staten island,2026-01-24T04:07:54.000,Closed,PHONE
67596137,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T04:07:26.000,Closed,MOBILE
67599106,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T04:07:22.000,Closed,PHONE
67596753,problem: drug activity. details: use outside. location type: street/sidewalk. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T04:07:17.000,Closed,ONLINE
67605100,problem: appliance. details: refrigerator. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:07:07.000,Closed,PHONE
67605096,problem: door/window. details: window frame. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:07:07.000,Closed,PHONE
67596687,problem: unsanitary condition. details: pests. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:07:07.000,Closed,PHONE
